epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,2805.24,0.89941,0.94378,1.42322,0.746,0.71301,0.75128,0.57691,0.91363,0.99707,1.45706,0.000580174,0.000580174,0.000580174
110,2830.32,0.87787,0.89446,1.40498,0.75523,0.67576,0.78839,0.59994,0.94462,1.05876,1.465,0.000572315,0.000572315,0.000572315
111,2855.4,0.88105,0.92061,1.39545,0.78298,0.67209,0.76761,0.57224,0.96739,0.95791,1.50003,0.000564455,0.000564455,0.000564455
112,2880.01,0.90631,0.89241,1.43809,0.80125,0.71139,0.81438,0.59417,1.10551,1.01445,1.5753,0.000556595,0.000556595,0.000556595
113,2905.63,0.89143,0.91774,1.40809,0.78936,0.65552,0.74611,0.54143,1.02407,1.13525,1.49985,0.000548736,0.000548736,0.000548736
114,2930.61,0.90924,0.94574,1.42185,0.7907,0.68832,0.77293,0.59873,0.89092,1.05447,1.44561,0.000540876,0.000540876,0.000540876
115,2955.78,0.89225,0.8894,1.40242,0.75716,0.78333,0.81862,0.62866,0.95233,0.9287,1.48382,0.000533017,0.000533017,0.000533017
116,2980.96,0.89513,0.94151,1.41607,0.7248,0.73013,0.76507,0.59238,0.92527,0.95041,1.47219,0.000525158,0.000525158,0.000525158
117,3005.85,0.88787,0.905,1.40942,0.73733,0.72502,0.78928,0.62004,0.92636,0.98551,1.45706,0.000517298,0.000517298,0.000517298
118,3030.81,0.84918,0.86108,1.36605,0.77084,0.70604,0.78993,0.61524,0.91561,0.92402,1.44568,0.000509438,0.000509438,0.000509438
119,3055.97,0.85918,0.84523,1.3911,0.68872,0.82597,0.82023,0.64331,0.89827,0.92907,1.44975,0.000501579,0.000501579,0.000501579
120,3081.08,0.85747,0.89143,1.37767,0.69823,0.8289,0.82342,0.62533,0.9317,0.89727,1.48562,0.00049372,0.00049372,0.00049372
121,3106.49,0.84457,0.88547,1.38015,0.8327,0.68359,0.8135,0.60037,1.00057,0.98575,1.51785,0.00048586,0.00048586,0.00048586
122,3132.27,0.87276,0.87116,1.39621,0.75539,0.74328,0.81501,0.59878,1.03283,0.91109,1.56006,0.000478,0.000478,0.000478
123,3157.68,0.84755,0.83955,1.36654,0.73854,0.78702,0.79561,0.61769,0.88653,0.95424,1.43643,0.000470141,0.000470141,0.000470141
124,3183.01,0.85846,0.878,1.39066,0.80861,0.73786,0.81283,0.64255,0.87403,0.97231,1.44016,0.000462281,0.000462281,0.000462281
125,3208.73,0.87291,0.86922,1.38413,0.70977,0.81512,0.8058,0.59087,1.04013,0.91493,1.52029,0.000454422,0.000454422,0.000454422
126,3234.05,0.83826,0.81414,1.36747,0.80261,0.75162,0.82796,0.63862,0.95401,1.00705,1.48408,0.000446563,0.000446563,0.000446563
127,3260.27,0.84266,0.80715,1.36293,0.85729,0.63673,0.7862,0.62608,0.89917,0.96737,1.43742,0.000438703,0.000438703,0.000438703
128,3286,0.86938,0.85649,1.38859,0.76146,0.69385,0.79686,0.6034,0.94322,0.91479,1.45978,0.000430843,0.000430843,0.000430843
129,3311.49,0.8302,0.82177,1.3633,0.67911,0.85795,0.80878,0.63222,0.8517,0.90295,1.40278,0.000422984,0.000422984,0.000422984
130,3337.45,0.83372,0.83824,1.35929,0.79788,0.6789,0.80311,0.62541,0.90576,0.95766,1.42821,0.000415124,0.000415124,0.000415124
131,3363.18,0.84736,0.86189,1.36464,0.74187,0.72595,0.80723,0.60648,0.95467,0.94553,1.47045,0.000407265,0.000407265,0.000407265
132,3388.71,0.84095,0.84728,1.37998,0.74129,0.78563,0.81868,0.64175,0.88103,1.04919,1.40991,0.000399406,0.000399406,0.000399406
133,3414.07,0.8589,0.86104,1.37525,0.78,0.80194,0.87654,0.66141,1.02173,0.89243,1.50412,0.000391546,0.000391546,0.000391546
134,3439.31,0.85916,0.83868,1.37847,0.80596,0.68665,0.84075,0.66309,0.94948,0.95642,1.4459,0.000383686,0.000383686,0.000383686
135,3465.18,0.83177,0.79121,1.35655,0.74969,0.7273,0.79041,0.62775,0.90379,1.01425,1.46104,0.000375827,0.000375827,0.000375827
